TaxiId,Latitude,Longitude,Occupied,Time
abdremlu,37.78607,-122.45566,1,"""1212283350
"
abdremlu,37.78656,-122.45918,1,"""1212283115
"
abdremlu,37.72171,-122.43619,1,"""1212228048
"
abdremlu,37.74848,-122.4685,1,"""1212226321
"
abdremlu,37.78309,-122.46321,1,"""1212200149
"
abdremlu,37.78313,-122.46214,1,"""1212200119
"
abdremlu,37.74157,-122.41288,1,"""1212186565
"
abdremlu,37.78096,-122.46388,1,"""1212175938
"
abdremlu,37.78608,-122.45601,1,"""1212155645
"
abdremlu,37.7642,-122.45604,1,"""1212153905
"
abdremlu,37.76548,-122.45266,1,"""1212153837
"
abdremlu,37.76192,-122.46633,1,"""1212145190
"
abdremlu,37.7573,-122.50575,1,"""1212144647
"
abdremlu,37.76177,-122.48145,1,"""1212118755
"
abdremlu,37.77552,-122.46278,1,"""1212117290
"
abdremlu,37.787,-122.48737,1,"""1212089051
"
abdremlu,37.73208,-122.43011,1,"""1212037716
"
abdremlu,37.73292,-122.40969,1,"""1212032122
"
abdremlu,37.70987,-122.45,1,"""1212026487
"
abdremlu,37.78051,-122.4765,1,"""1211918989
"
abdremlu,37.77805,-122.4781,1,"""1211918771
"
abdremlu,37.77971,-122.50215,1,"""1211821543
"
abdremlu,37.77991,-122.48794,1,"""1211821205
"
abdremlu,37.71257,-122.43451,1,"""1211796497
"
abdremlu,37.77607,-122.45835,1,"""1211789531
"
abdremlu,37.74333,-122.42668,1,"""1211770096
"
abdremlu,37.77369,-122.46565,1,"""1211763614
"
abdremlu,37.76532,-122.47679,1,"""1211762569
"
abdremlu,37.76229,-122.46611,1,"""1211762162
"
abdremlu,37.76136,-122.47148,1,"""1211761730
"
abdremlu,37.75327,-122.49637,1,"""1211707524
"
abdremlu,37.72989,-122.49632,1,"""1211697272
"
abdremlu,37.7398,-122.50229,1,"""1211696876
"
abdremlu,37.73046,-122.44906,1,"""1211676826
"
abdremlu,37.74374,-122.42553,1,"""1211671715
"
abdremlu,37.76331,-122.45857,1,"""1211568699
"
abdremlu,37.78707,-122.46079,1,"""1211566003
"
abdremlu,37.78074,-122.46875,1,"""1211404958
"
abdremlu,37.74447,-122.43735,1,"""1211403182
"
abdremlu,37.78571,-122.45819,1,"""1211367204
"
abdremlu,37.77647,-122.45663,1,"""1211366707
"
abdremlu,37.73482,-122.42383,1,"""1211270102
"
abdremlu,37.78143,-122.48485,1,"""1211178269
"
abdremlu,37.78022,-122.49456,1,"""1211177960
"
abdremlu,37.77142,-122.50796,1,"""1211150949
"
abdremlu,37.77702,-122.48343,1,"""1211150373
"
abdremlu,37.73396,-122.41567,1,"""1211063032
"
abdremlu,37.73652,-122.38246,1,"""1211034932
"
abgibo,37.77303,-122.45338,1,"""1213051085
"
abgibo,37.72632,-122.40419,1,"""1213002122
"
abgibo,37.73088,-122.4263,1,"""1213001288
"
abgibo,37.78122,-122.46428,1,"""1212990989
"
abgibo,37.78123,-122.46119,1,"""1212990853
"
abgibo,37.78016,-122.48145,1,"""1212987788
"
abgibo,37.78127,-122.45978,1,"""1212987384
"
abgibo,37.74395,-122.43123,1,"""1212984559
"
abgibo,37.73611,-122.39474,1,"""1212982302
"
abgibo,37.71774,-122.43684,1,"""1212977689
"
abgibo,37.72119,-122.45719,1,"""1212977176
"
abgibo,37.73222,-122.43087,1,"""1212917460
"
abgibo,37.78409,-122.45399,1,"""1212900999
"
abgibo,37.73167,-122.43903,1,"""1212859705
"
abgibo,37.73321,-122.43418,1,"""1212859644
"
abgibo,37.7802,-122.47959,1,"""1212855460
"
abgibo,37.78044,-122.48483,1,"""1212846663
"
abgibo,37.7527,-122.48285,1,"""1212819477
"
abgibo,37.72437,-122.49391,1,"""1212761416
"
abgibo,37.77555,-122.46213,1,"""1212740709
"
abgibo,37.72489,-122.43545,1,"""1212721761
"
abgibo,37.78058,-122.49983,1,"""1212705614
"
abgibo,37.77878,-122.4641,1,"""1212703670
"
abgibo,37.73011,-122.46143,1,"""1212651964
"
abgibo,37.72083,-122.47567,1,"""1212651551
"
abgibo,37.71774,-122.43471,1,"""1212650344
"
abgibo,37.70921,-122.41969,1,"""1212649892
"
abgibo,37.71406,-122.43601,1,"""1212649684
"
abgibo,37.7154,-122.44177,1,"""1212649554
"
abgibo,37.74349,-122.42132,1,"""1212648915
"
abgibo,37.74255,-122.42195,1,"""1212648876
"
abgibo,37.80745,-122.47407,1,"""1212620929
"
abgibo,37.77102,-122.45378,1,"""1212619200
"
abgibo,37.77487,-122.45291,1,"""1212619026
"
abgibo,37.75136,-122.47307,1,"""1212563043
"
abgibo,37.73989,-122.50493,1,"""1212562352
"
abgibo,37.78292,-122.45904,1,"""1212561362
"
abgibo,37.77952,-122.50826,1,"""1212560731
"
