StopId,Latitude,Longitude,count
0,37.810355,-122.364865,4
1,37.709505,-122.497885,2
2,37.709713750000006,-122.39320625,8
3,37.81051,-122.476695,2
4,37.77189375000002,-122.41979713362068,464
5,37.763719193548376,-122.5097125806452,62
6,37.72269681818181,-122.44476818181816,22
7,37.764123515358385,-122.46430290102384,293
8,37.75139333333333,-122.38064000000001,3
9,37.809060452674906,-122.41814868312763,243
10,37.737271578947365,-122.41359684210529,38
11,37.78507847533629,-122.38840695067265,223
12,37.79126604166667,-122.44798999999999,48
13,37.739975,-122.48827333333332,6
14,37.72526,-122.36715,1
15,37.7834945263158,-122.4877943157895,95
16,37.750581803278706,-122.44007967213115,61
17,37.70856454545455,-122.42064363636365,22
18,37.70923111111111,-122.46812555555556,9
19,37.73954133333334,-122.46368600000001,15
20,37.76499505555554,-122.39812105555552,180
21,37.80765,-122.39241,1
22,37.732394193548394,-122.39159032258065,31
23,37.79157054288196,-122.41060709500384,3463
24,37.76133681818181,-122.48669454545453,22
25,37.77191924528303,-122.44212816037734,212
26,37.732220000000005,-122.50626666666666,3
27,37.78436544444445,-122.46755322222224,90
28,37.72180130434782,-122.4821860869565,23
29,37.78915351879704,-122.42874141353386,665
30,37.79241,-122.36766,1
31,37.782305,-122.51076,2
32,37.73483766666667,-122.43215766666664,30
33,37.75379819391634,-122.42087159695816,526
34,37.806028032786884,-122.43748901639346,183
35,37.719842222222226,-122.4077188888889,9
36,37.80711,-122.457735,2
37,37.74941181818182,-122.5025127272727,11
38,37.74772071428571,-122.4001292857143,14
39,37.72358133333332,-122.46164999999999,15
40,37.708865312499995,-122.45252124999999,32
41,37.75048698113208,-122.47597283018868,53
42,37.709425555555555,-122.43664666666668,9
43,37.736535,-122.377215,4
44,37.73949999999999,-122.44875307692308,13
45,37.77317392857143,-122.47661392857141,28
46,37.796326666666666,-122.47953,3
47,37.753806923076915,-122.45449461538459,13
48,37.77372666666667,-122.49785833333334,18
49,37.769545,-122.38552,6
50,37.724738571428574,-122.42125,7
51,37.779206240875936,-122.40208153284671,274
52,37.775009802631565,-122.45630809210527,152
53,37.76268218749999,-122.43183802083327,96
54,37.80521227472533,-122.40559695604387,910
55,37.80365,-122.37914,1
56,37.71989,-122.38428,1
57,37.708573333333334,-122.48356333333334,3
58,37.732701666666664,-122.47499083333332,24
59,37.762591553784894,-122.41127027888442,251
60,37.79441847732541,-122.39657417411482,3021
61,37.72385,-122.495115,4
62,37.79759687850471,-122.42046394392528,535
63,37.799850000000006,-122.46697,2
64,37.76082171428572,-122.49908142857143,35
65,37.72181,-122.4331502857143,35
66,37.77733506702416,-122.431571769437,373
67,37.78279231431652,-122.41913282023683,929
68,37.74297,-122.38862857142855,21
69,37.70905235294117,-122.40560647058822,17
70,37.765137395833335,-122.45121666666671,96
71,37.73115659574467,-122.40400468085103,47
72,37.72078842105263,-122.39615578947367,19
73,37.75518300000001,-122.39062785714286,70
74,37.75160076923077,-122.49158076923075,13
75,37.78515729468598,-122.49980415458946,207
76,37.78342225477707,-122.44076010191075,785
77,37.748703776595775,-122.41141973404254,188
78,37.745640180180175,-122.42880108108103,111
79,37.76164344537815,-122.47676647058816,119
80,37.79655675177301,-122.43697245390067,705
81,37.79202,-122.45852500000001,6
82,37.772764019448964,-122.41008917341982,617
83,37.7726475,-122.48702281250002,32
84,37.71771952380953,-122.47297857142857,21
85,37.80496784313724,-122.4476051960784,102
86,37.73846666666667,-122.49861666666668,6
87,37.78594523809524,-122.47777976190478,42
88,37.792,-122.38034,1
89,37.751069333333334,-122.46548866666666,15
90,37.73146857142858,-122.45573999999999,14
