TaxiId,Latitude,Longitude,CLUSTER_ID
abdremlu,37.77911,-122.46737,"32"
abdremlu,37.76035,-122.46625,"140"
abdremlu,37.80011,-122.45465,"302"
abdremlu,37.71439,-122.41487,"33"
abdremlu,37.71749,-122.47528,"362"
abdremlu,37.76117,-122.50596,"141"
abdremlu,37.73295,-122.49095,"144"
abdremlu,37.78412,-122.48131,"8"
abdremlu,37.7241,-122.40231,"217"
abdremlu,37.78614,-122.45651,"107"
abdremlu,37.76555,-122.47179,"135"
abdremlu,37.78348,-122.46453,"232"
abdremlu,37.72457,-122.40154,"217"
abdremlu,37.71877,-122.40578,"53"
abdremlu,37.78699,-122.45355,"290"
abdremlu,37.7826,-122.4806,"8"
abdremlu,37.7943,-122.45455,"278"
abdremlu,37.78168,-122.45482,"273"
abdremlu,37.78662,-122.46658,"354"
abdremlu,37.73422,-122.41639,"339"
abdremlu,37.7636,-122.4622,"333"
abdremlu,37.73755,-122.38404,"112"
abdremlu,37.74483,-122.47699,"22"
abdremlu,37.75332,-122.48078,"371"
abdremlu,37.78007,-122.456,"273"
abdremlu,37.78102,-122.45876,"102"
abdremlu,37.78607,-122.45566,"107"
abdremlu,37.78656,-122.45918,"227"
abdremlu,37.72171,-122.43619,"169"
abdremlu,37.74848,-122.4685,"61"
abdremlu,37.78309,-122.46321,"232"
abdremlu,37.78313,-122.46214,"232"
abdremlu,37.74157,-122.41288,"241"
abdremlu,37.78096,-122.46388,"232"
abdremlu,37.78608,-122.45601,"107"
abdremlu,37.7642,-122.45604,"243"
abdremlu,37.76548,-122.45266,"38"
abdremlu,37.76192,-122.46633,"140"
abdremlu,37.7573,-122.50575,"413"
abdremlu,37.76177,-122.48145,"158"
abdremlu,37.77552,-122.46278,"138"
abdremlu,37.787,-122.48737,"285"
abdremlu,37.73208,-122.43011,"264"
abdremlu,37.73292,-122.40969,"398"
abdremlu,37.70987,-122.45,"236"
abdremlu,37.78051,-122.4765,"125"
abdremlu,37.77805,-122.4781,"81"
abdremlu,37.77971,-122.50215,"246"
abdremlu,37.77991,-122.48794,"161"
abdremlu,37.71257,-122.43451,"256"
abdremlu,37.77607,-122.45835,"311"
abdremlu,37.74333,-122.42668,"257"
abdremlu,37.77369,-122.46565,"378"
abdremlu,37.76532,-122.47679,"21"
abdremlu,37.76229,-122.46611,"140"
abdremlu,37.76136,-122.47148,"352"
abdremlu,37.75327,-122.49637,"197"
abdremlu,37.72989,-122.49632,"381"
abdremlu,37.7398,-122.50229,"72"
abdremlu,37.73046,-122.44906,"252"
abdremlu,37.74374,-122.42553,"414"
abdremlu,37.76331,-122.45857,"100"
abdremlu,37.78707,-122.46079,"64"
abdremlu,37.78074,-122.46875,"306"
abdremlu,37.74447,-122.43735,"60"
abdremlu,37.78571,-122.45819,"107"
abdremlu,37.77647,-122.45663,"311"
abdremlu,37.73482,-122.42383,"326"
abdremlu,37.78143,-122.48485,"314"
abdremlu,37.78022,-122.49456,"344"
abdremlu,37.77142,-122.50796,"361"
abdremlu,37.77702,-122.48343,"50"
abdremlu,37.73396,-122.41567,"339"
abdremlu,37.73652,-122.38246,"308"
abgibo,37.77303,-122.45338,"117"
abgibo,37.72632,-122.40419,"17"
abgibo,37.73088,-122.4263,"20"
abgibo,37.78122,-122.46428,"232"
abgibo,37.78123,-122.46119,"102"
abgibo,37.78016,-122.48145,"164"
abgibo,37.78127,-122.45978,"102"
abgibo,37.74395,-122.43123,"31"
abgibo,37.73611,-122.39474,"338"
abgibo,37.71774,-122.43684,"345"
abgibo,37.72119,-122.45719,"29"
abgibo,37.73222,-122.43087,"264"
abgibo,37.78409,-122.45399,"363"
abgibo,37.73167,-122.43903,"179"
abgibo,37.73321,-122.43418,"70"
abgibo,37.7802,-122.47959,"383"
abgibo,37.78044,-122.48483,"314"
abgibo,37.7527,-122.48285,"168"
abgibo,37.72437,-122.49391,"369"
abgibo,37.77555,-122.46213,"138"
abgibo,37.72489,-122.43545,"335"
abgibo,37.78058,-122.49983,"134"
abgibo,37.77878,-122.4641,"321"
abgibo,37.73011,-122.46143,"350"
abgibo,37.72083,-122.47567,"74"
abgibo,37.71774,-122.43471,"365"
abgibo,37.70921,-122.41969,"418"
abgibo,37.71406,-122.43601,"109"
abgibo,37.7154,-122.44177,"28"
abgibo,37.74349,-122.42132,"419"
abgibo,37.74255,-122.42195,"124"
abgibo,37.80745,-122.47407,"351"
abgibo,37.77102,-122.45378,"117"
abgibo,37.77487,-122.45291,"220"
abgibo,37.75136,-122.47307,"211"
abgibo,37.73989,-122.50493,"196"
abgibo,37.78292,-122.45904,"251"
abgibo,37.77952,-122.50826,"213"
abgibo,37.78525,-122.46425,"354"
abgibo,37.78629,-122.46791,"80"
abgibo,37.78138,-122.47829,"383"
abgibo,37.74741,-122.48793,"71"
abgibo,37.76603,-122.46414,"46"
abgibo,37.7755,-122.48765,"293"
abgibo,37.78259,-122.50381,"58"
abgibo,37.7218,-122.46028,"390"
abgibo,37.72317,-122.39858,"129"
abgibo,37.71226,-122.40662,"172"
abgibo,37.72233,-122.39374,"382"
abgibo,37.78121,-122.45906,"102"
abgibo,37.72867,-122.46222,"350"
abgibo,37.73181,-122.4363,"179"
abgibo,37.73492,-122.4313,"425"
abgibo,37.75358,-122.45468,"310"
abgibo,37.76334,-122.4582,"100"
abgibo,37.76335,-122.46419,"288"
abgibo,37.7741,-122.46486,"378"
abgibo,37.7595,-122.46285,"275"
abgibo,37.77684,-122.45675,"311"
abgibo,37.77114,-122.45264,"117"
abgibo,37.74247,-122.49081,"190"
abgibo,37.73887,-122.41353,"241"
abgibo,37.76444,-122.45998,"319"
abgibo,37.74367,-122.42651,"257"
abgibo,37.74216,-122.42638,"257"
abgibo,37.71035,-122.4558,"206"
abgibo,37.78054,-122.47275,"249"
abgibo,37.78027,-122.48063,"164"
abgibo,37.74035,-122.4236,"274"
abgibo,37.78436,-122.47527,"277"
abgibo,37.76407,-122.46617,"288"
abgibo,37.76408,-122.46614,"288"
abgibo,37.78052,-122.45503,"273"
abgibo,37.76338,-122.46308,"333"
abgibo,37.76364,-122.4758,"349"
abgibo,37.76186,-122.47048,"352"
abgibo,37.74292,-122.47993,"332"
abgibo,37.76404,-122.50613,"265"
abgibo,37.76278,-122.45321,"282"
abgibo,37.78114,-122.48176,"164"
abgibo,37.71468,-122.44278,"180"
abgibo,37.78426,-122.48716,"99"
abgibo,37.77824,-122.48476,"50"
abgibo,37.76353,-122.45775,"100"
abgibo,37.74104,-122.46011,"24"
abgibo,37.7306,-122.47579,"11"
abgibo,37.74681,-122.47375,"389"
abgibo,37.7306,-122.47579,"11"
abgibo,37.75175,-122.46811,"61"
abgibo,37.76181,-122.4662,"140"
abgibo,37.76226,-122.46621,"140"
abgibo,37.78242,-122.47408,"125"
abgibo,37.78301,-122.46451,"232"
abgibo,37.78123,-122.46187,"232"
abgibo,37.78492,-122.45685,"107"
abgibo,37.78752,-122.46239,"64"
abgibo,37.78081,-122.471,"306"
abgibo,37.74031,-122.40705,"83"
abgibo,37.70884,-122.44491,"297"
abgibo,37.73978,-122.42103,"274"
abgibo,37.77243,-122.50978,"409"
abgibo,37.76053,-122.50568,"141"
abgibo,37.73563,-122.50345,"370"
abgibo,37.74297,-122.42595,"257"
abgibo,37.73799,-122.46324,"24"
abgibo,37.71854,-122.48558,"136"
abgibo,37.78447,-122.4807,"8"
abgibo,37.75798,-122.47642,"303"
abgibo,37.75687,-122.47651,"303"
abgibo,37.74125,-122.50031,"153"
abgibo,37.77433,-122.45945,"311"
abgibo,37.79063,-122.47577,"222"
abgibo,37.74417,-122.42143,"419"
abgibo,37.74355,-122.42674,"257"
abgibo,37.73854,-122.42603,"189"
abgibo,37.72082,-122.47582,"74"
abgibo,37.72781,-122.45258,"304"
abgibo,37.72912,-122.41949,"96"
abgibo,37.72369,-122.41717,"368"
abgibo,37.73571,-122.41786,"339"
abgibo,37.72751,-122.42835,"20"
abgibo,37.73731,-122.42215,"63"
abgibo,37.72586,-122.40285,"17"
abgibo,37.73283,-122.4332,"70"
abgibo,37.75149,-122.48816,"71"
abgibo,37.78594,-122.4577,"107"
abgibo,37.7791,-122.46403,"321"
abgibo,37.73473,-122.41311,"248"
abgibo,37.73373,-122.4262,"160"
abgibo,37.75829,-122.50796,"26"
abgibo,37.73303,-122.37909,"215"
abgibo,37.76335,-122.45819,"100"
abgibo,37.76522,-122.47618,"349"
abgibo,37.76537,-122.48143,"343"
abgibo,37.76432,-122.46057,"333"
abgibo,37.76211,-122.46704,"140"
abgibo,37.75357,-122.47623,"114"
abgibo,37.76563,-122.47077,"135"
abgibo,37.72427,-122.40214,"217"
abgibo,37.71815,-122.4008,"261"
abgibo,37.77707,-122.46399,"321"
abgibo,37.76069,-122.46289,"6"
abgibo,37.72456,-122.4515,"143"
abgibo,37.7275,-122.39325,"103"
abgibo,37.77512,-122.48007,"185"
abgibo,37.73341,-122.43423,"70"
abgibo,37.73411,-122.43322,"70"
abgibo,37.78579,-122.45893,"251"
abgibo,37.80417,-122.45455,"3"
abgibo,37.76091,-122.49602,"162"
abgibo,37.74298,-122.48971,"190"
abgibo,37.76091,-122.49602,"162"
abgibo,37.71058,-122.46754,"423"
abgibo,37.71768,-122.48198,"176"
abgibo,37.7375,-122.42101,"286"
abgibo,37.73893,-122.41556,"241"
abgibo,37.7375,-122.42101,"286"
abgibo,37.73198,-122.42905,"264"
abgibo,37.72006,-122.47907,"287"
abgibo,37.71443,-122.43665,"109"
abgibo,37.71672,-122.4024,"388"
abgibo,37.73,-122.39919,"221"
abgibo,37.7239,-122.40205,"217"
abgibo,37.7858,-122.457,"107"
abgibo,37.76181,-122.47695,"146"
abgibo,37.78636,-122.45323,"290"
abgibo,37.77735,-122.46074,"321"
abgibo,37.77826,-122.49634,"372"
abgibo,37.77982,-122.51005,"213"
abgibo,37.77617,-122.45662,"311"
abgibo,37.76192,-122.47302,"68"
abgibo,37.76623,-122.45434,"38"
abgibo,37.78438,-122.47093,"80"
abjoolaw,37.79613,-122.45585,"278"
abjoolaw,37.7725,-122.48532,"424"
abjoolaw,37.77245,-122.48943,"166"
abjoolaw,37.76936,-122.45198,"404"
abjoolaw,37.74315,-122.474,"150"
abjoolaw,37.76532,-122.45317,"38"
abjoolaw,37.76146,-122.48311,"420"
abjoolaw,37.76467,-122.47511,"349"
abjoolaw,37.78101,-122.46596,"32"
abjoolaw,37.77612,-122.45492,"220"
abjoolaw,37.77567,-122.45353,"220"
abjoolaw,37.78163,-122.47839,"383"
abjoolaw,37.77588,-122.49412,"415"
abjoolaw,37.76226,-122.4932,"294"
abjoolaw,37.76438,-122.46735,"400"
abjoolaw,37.78114,-122.46531,"32"
abjoolaw,37.78692,-122.45983,"227"
abjoolaw,37.73492,-122.41104,"248"
abjoolaw,37.73583,-122.42458,"326"
abjoolaw,37.72289,-122.43752,"169"
abjoolaw,37.736,-122.42346,"326"
abjoolaw,37.74404,-122.42088,"419"
abjoolaw,37.74434,-122.42277,"419"
abjoolaw,37.74475,-122.42334,"414"
abjoolaw,37.74475,-122.42334,"414"
abjoolaw,37.76156,-122.50273,"141"
abjoolaw,37.78099,-122.45985,"102"
abjoolaw,37.78119,-122.46421,"232"
abjoolaw,37.74434,-122.42676,"257"
abjoolaw,37.71756,-122.43375,"365"
abjoolaw,37.71953,-122.43326,"365"
abjoolaw,37.77975,-122.49002,"161"
abjoolaw,37.78505,-122.49944,"219"
abjoolaw,37.72597,-122.38016,"270"
