StopId,Latitude,Longitude,count
0,37.74587666666665,-122.45108888888886,27
1,37.81024666666667,-122.36496333333334,3
2,37.74618130434783,-122.3872056521739,23
3,37.80575527659573,-122.43201885106384,235
4,37.786139930924556,-122.3973059883102,1882
5,37.75680235772353,-122.41885402069478,1353
6,37.78157154320986,-122.45089333333334,162
7,37.78294596470587,-122.4205808235293,850
8,37.806396034387184,-122.405531974487,1803
9,37.80500142857143,-122.45082,14
10,37.76273170491805,-122.39695291803282,305
11,37.762613236994234,-122.43857578034681,173
12,37.796683333333334,-122.37960333333335,3
13,37.7469588888889,-122.40489929292926,99
14,37.746576944444456,-122.43262048611115,144
15,37.79230601092897,-122.43957295081968,183
16,37.77111896860984,-122.41195612107614,446
17,37.79193182615806,-122.41047538257477,4901
18,37.776450117647094,-122.43802065882363,850
19,37.77432529411764,-122.38758705882354,51
20,37.770750274223076,-122.42452159049373,547
21,37.79492332097096,-122.39731752865833,2966
22,37.79728831553971,-122.42190741399752,1686
23,37.75862250000001,-122.45102083333336,48
24,37.74571048484851,-122.42001581818191,495
25,37.809034262295086,-122.41815278688523,122
26,37.76071,-122.38579000000001,4
27,37.78973310344829,-122.44996917241379,145
28,37.756957694805195,-122.40663129870129,308
29,37.751452296395186,-122.39471687583465,749
30,37.769772260273946,-122.44866562622315,1022
31,37.75334323943663,-122.44184492957748,142
32,37.75694500000001,-122.43203020000001,100
33,37.77475644376897,-122.4004727963525,329
34,37.80213797872339,-122.44066273049643,282
35,37.78092496790757,-122.40874094993579,779
36,37.803920000000005,-122.371765,4
37,37.78931742243438,-122.38897926014306,419
38,37.7896904134367,-122.42888461240305,774
39,37.80294621338915,-122.4142086872385,1912
40,37.78541949579833,-122.44249563025205,238
41,37.79759746067407,-122.4314088202244,2670
42,37.749148493150685,-122.41372794520551,219
43,37.76811290322582,-122.43228235732003,403
44,37.76266741573034,-122.41149932584273,178
45,37.79268695538058,-122.40141919685017,1905
46,37.77553684113872,-122.41930106519744,1089
47,37.77620715648855,-122.42890807251912,524
48,37.790743391973564,-122.41760721825194,1819
49,37.782024338983014,-122.38871064406777,295
50,37.79783457388932,-122.40515293744325,2206
51,37.766652857142866,-122.40385397515524,161
52,37.75159305400375,-122.42759819366844,537
53,37.77613906818183,-122.44405056818188,440
54,37.80574462287108,-122.4221152311435,822
55,37.78524224376727,-122.43549684210534,361
56,37.76813892307693,-122.39097338461534,65
57,37.75151,-122.3804,1
58,37.76205500699298,-122.42384335664337,715
59,37.74686791666666,-122.39323750000001,24
60,37.76769810526314,-122.41787263157886,190
61,37.783414946969636,-122.41467369696977,1320
62,37.74598788732395,-122.43974366197182,71
63,37.79840579545455,-122.4464861363636,352
64,37.75348808510639,-122.38798382978726,47
65,37.757945937500025,-122.4365929999999,160
66,37.79238508474576,-122.39479148082067,1121
67,37.77697221354174,-122.3945882682292,1536
68,37.75855024,-122.44440175999995,125
69,37.757970857142865,-122.39285828571421,175
70,37.75702000000001,-122.40013865384611,104
71,37.77118503740655,-122.43962546134668,401
72,37.75206428571429,-122.45056714285714,7
73,37.7816102294197,-122.40077323886648,741
74,37.80747430201928,-122.41332917910466,2278
75,37.75052703389831,-122.39998211864412,118
76,37.764242942477885,-122.43305826327425,904
77,37.77517841269842,-122.40603264550273,378
78,37.752171515723326,-122.41840086792467,1590
79,37.810385000000004,-122.37035333333334,6
80,37.800812154471515,-122.40110040650411,738
81,37.79623939130437,-122.41569581159415,690
82,37.7895910035842,-122.44258003584235,279
83,37.7859539415287,-122.40611792180351,2839
84,37.787507136752154,-122.44864846153848,234
85,37.764162873563215,-122.44808459770113,87
86,37.75480425339366,-122.4120584162896,221
87,37.74741644444443,-122.44480733333332,90
88,37.7514844117647,-122.43193117647078,340
89,37.78559903795233,-122.42848791703449,1133
90,37.78624924320722,-122.41102176862805,5999
91,37.803269050632906,-122.43503221518986,158
92,37.80696805555553,-122.44691833333334,36
93,37.79735107913669,-122.43735953237413,556
94,37.79096552901025,-122.42365906996585,1172
95,37.77346066350711,-122.45095052132693,211
96,37.75537549999999,-122.42330749999994,300
97,37.76877103448275,-122.39775034482757,58
98,37.76114822222223,-122.40358377777777,135
99,37.75075877300615,-122.40871717791417,163
100,37.800635994623626,-122.42596991935463,744
101,37.77716051495018,-122.412344784053,602
102,37.76731962085307,-122.44493748815157,211
103,37.76929700729927,-122.38635700729934,137
104,37.767407960129816,-122.4290758043578,2157
105,37.793847585266036,-122.43377890859486,733
106,37.76241967334033,-122.41937083245512,949
107,37.795445988095224,-122.42689539285722,840
108,37.80588390151521,-122.41806464015183,1584
109,37.78144483404258,-122.43254672340441,1175
110,37.788063888888956,-122.39124520202002,792
111,37.79587176470588,-122.44266848039224,204
112,37.74614288043479,-122.42654831521747,184
113,37.7741648648649,-122.43336801158311,518
114,37.797091218107006,-122.40046565432112,1215
115,37.751505874125876,-122.43623090909094,143
116,37.797466889897855,-122.40963389330291,881
117,37.77765221934371,-122.4232226943005,1158
118,37.747506666666666,-122.3966783333333,30
119,37.77236714285714,-122.39422714285715,7
120,37.79882451054209,-122.41900458584345,1328
121,37.8030982585034,-122.40917152380949,735
122,37.78654049787491,-122.40214975409853,3294
123,37.74613749999998,-122.41527759259257,108
124,37.799445,-122.3765,2
125,37.78775788655084,-122.44023263494985,1093
126,37.7459502739726,-122.4086364383562,73
127,37.78122027397259,-122.43920325342462,292
128,37.78031402953588,-122.39517768987342,948
129,37.7980077647059,-122.45092376470588,85
130,37.805262351190464,-122.43762220238085,336
131,37.785596206247696,-122.41879019947318,2657
132,37.75578,-122.38234,1
133,37.79474815773981,-122.40483001765769,1699
134,37.77169565217393,-122.40199043478268,437
135,37.78243277372264,-122.44698581508523,411
136,37.807184285714285,-122.36831,7
137,37.761134012345664,-122.40992080246914,162
138,37.77197005792911,-122.43070186821136,1381
139,37.76352601351353,-122.38909777027034,148
140,37.771742605863196,-122.44535876221487,307
141,37.767953179487186,-122.43754292307696,195
142,37.80300107660454,-122.42949416149055,483
143,37.787803135964886,-122.42423168859655,912
144,37.76488536086958,-122.42196051739116,2300
145,37.76182989445908,-122.42872290237466,379
146,37.76594589928058,-122.41027010791365,278
147,37.79511247995422,-122.39429828178716,1746
148,37.750521636363636,-122.39153636363639,110
149,37.75861653333334,-122.44084480000001,75
150,37.78880981678734,-122.43381304644235,2347
151,37.77216061868687,-122.42263407828287,792
152,37.748281931034455,-122.4207403448276,290
153,37.80174473972602,-122.4440072602739,365
154,37.79154416666667,-122.38501833333333,12
155,37.79277012434555,-122.39767378926709,3056
156,37.759306004273505,-122.41616600427355,468
157,37.78039590230662,-122.41855284938934,737
158,37.77075854227404,-122.40796778425653,343
159,37.77335048387098,-122.41646365591401,372
160,37.76723,-122.45020108208958,268
161,37.758036137931036,-122.38896082758619,145
162,37.78241832041346,-122.39290588285945,1161
163,37.75778846153846,-122.39599987179491,78
164,37.791479379049605,-122.41260500000008,1852
165,37.77162539461468,-122.4368068152276,1077
166,37.79573382165606,-122.44556554140125,157
167,37.8026719538462,-122.4021359461537,1300
168,37.79276813924054,-122.41870267088612,790
169,37.80483120437955,-122.44184708029206,274
170,37.753629007633585,-122.44375160305343,131
171,37.755213351955256,-122.40527059590332,537
172,37.77823808290154,-122.44691756476684,193
173,37.79030731981983,-122.39735903153148,1776
174,37.77556635179153,-122.44009511400654,307
175,37.78488399860111,-122.40458370016331,4289
176,37.75039086956522,-122.38446695652173,23
177,37.76250417910447,-122.44258955223873,134
178,37.763192000000025,-122.39382300000005,130
179,37.758963765060244,-122.43465268072282,332
180,37.75554517241379,-122.39128310344823,58
181,37.7499271641791,-122.3967450746269,134
182,37.77913932735427,-122.44058838565027,223
183,37.74887754098359,-122.4290264754099,122
184,37.76474031055901,-122.4019695652174,161
185,37.80324314732143,-122.42639223214282,448
186,37.754466342857135,-122.42806880000006,175
187,37.75232363057326,-122.4120413057326,314
188,37.77880181578946,-122.40612722368431,760
189,37.77001280936454,-122.42001949832765,299
190,37.77866101149422,-122.41529608735614,2175
191,37.775042574257434,-122.44895975247519,202
192,37.75257342984412,-122.41504741648106,449
193,37.75486805810398,-122.42087082568814,654
194,37.78760360925864,-122.42022961553549,2549
195,37.80196026315789,-122.44963368421053,38
196,37.77281561728396,-122.42836429012327,648
197,37.800092191142205,-122.42352230769237,858
