block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_1801,15242,0,Stonestown,175755,1_merged_9191498,9070617
b_1803,15242,0,Stonestown,175755,1_merged_9191498,9070610
b_1804,15242,0,Stonestown,175755,1_merged_9191498,9070611
b_1802,15242,0,Stonestown,175755,1_merged_9191498,9070612
b_1801,15242,0,Stonestown,175755,1_merged_9191498,9070613
b_9003,15291,0,Visitacion Valley,175947,3_merged_9191499,9110462
b_9003,15291,1,North Point + Van Ness,175948,3_merged_9191499,9110463
b_9001,15291,0,Visitacion Valley,175947,3_merged_9191499,9110460
b_9002,15291,0,Visitacion Valley,175947,3_merged_9191499,9110461
b_1803,15242,0,Stonestown,175755,1_merged_9191498,9070618
b_1804,15242,0,Stonestown,175755,1_merged_9191498,9070619
b_9001,15291,1,North Point + Van Ness,175948,3_merged_9191499,9110464
b_5703,15278,0,Lakeshore Plaza,175918,1_merged_9191498,9104147
b_6601,15282,1,Judah + Ninth Avenue,175935,1_merged_9191498,9109412
a_304,15006,1,Market + Sansome,173931,2_merged_9191497,8946169
a_303,15006,1,Market + Sansome,173931,2_merged_9191497,8946168
a_304,15006,1,Market + Sansome,173931,2_merged_9191497,8946165
a_303,15006,1,Market + Sansome,173931,2_merged_9191497,8946164
a_302,15006,1,Market + Sansome,173931,2_merged_9191497,8946167
a_301,15006,1,Market + Sansome,173931,2_merged_9191497,8946166
a_304,15006,1,Market + Sansome,173931,2_merged_9191497,8946161
a_303,15006,1,Market + Sansome,173931,2_merged_9191497,8946160
a_302,15006,1,Market + Sansome,173931,2_merged_9191497,8946163
a_301,15006,1,Market + Sansome,173931,2_merged_9191497,8946162
b_9708,15306,0,Ocean Beach,176115,3_merged_9191499,9125173
a_4311,15048,1,Fort Mason,174119,3_merged_9191496,8985263
a_4310,15048,1,Fort Mason,174119,3_merged_9191496,8985262
a_102,15002,0,Geary + 33rd Avenue,173914,1_merged_9191495,8942888
a_4313,15048,1,Fort Mason,174119,3_merged_9191496,8985260
a_4312,15048,1,Fort Mason,174119,3_merged_9191496,8985267
a_4302,15048,1,Fort Mason,174119,3_merged_9191496,8985266
a_4304,15048,1,Fort Mason,174119,3_merged_9191496,8985265
a_4308,15048,1,Fort Mason,174119,3_merged_9191496,8985264
a_106,15002,0,Geary + 33rd Avenue,173914,1_merged_9191495,8942882
a_105,15002,0,Geary + 33rd Avenue,173914,1_merged_9191495,8942883
a_120,15002,0,Geary + 33rd Avenue,173914,1_merged_9191495,8942880
a_4307,15048,1,Fort Mason,174119,3_merged_9191496,8985268
a_104,15002,0,Geary + 33rd Avenue,173914,1_merged_9191495,8942886
a_103,15002,0,Geary + 33rd Avenue,173914,1_merged_9191495,8942887
a_106,15002,0,Geary + 33rd Avenue,173914,1_merged_9191495,8942884
a_105,15002,0,Geary + 33rd Avenue,173914,1_merged_9191495,8942885
b_9708,15299,1,Sunnydale & Bayshore,176047,3_merged_9191499,9115533
b_9713,15299,1,Sunnydale & Bayshore,176047,3_merged_9191499,9115532
a_4509,15050,0,Lyon + Greenwich,174133,1_merged_9191495,8987254
a_6102,15061,1,Market + California,174176,2_merged_9191497,8998478
a_6103,15061,1,Market + California,174176,2_merged_9191497,8998479
a_6105,15061,1,Market + California,174176,2_merged_9191497,8998470
a_6102,15061,1,Market + California,174176,2_merged_9191497,8998471
a_6101,15061,1,Market + California,174176,2_merged_9191497,8998472
a_6105,15061,1,Market + California,174176,2_merged_9191497,8998473
a_6101,15061,1,Market + California,174176,2_merged_9191497,8998474
a_6103,15061,1,Market + California,174176,2_merged_9191497,8998475
a_6101,15061,1,Market + California,174176,2_merged_9191497,8998476
a_6104,15061,1,Market + California,174176,2_merged_9191497,8998477
b_2706,15249,0,Chavez + Mission,175795,1_merged_9191498,9078851
b_306,15226,1,Market + Sansome,175686,1_merged_9191498,9055271
b_3807,15262,1,Transit Center,175858,3_merged_9191499,9088729
b_3805,15262,1,Transit Center,175859,3_merged_9191499,9088728
b_3812,15262,1,Transit Center,175858,3_merged_9191499,9088727
a_2703,15029,0,Chavez + Mission,174040,1_merged_9191495,8969449
b_3811,15262,1,Transit Center,175858,3_merged_9191499,9088725
b_3804,15262,1,Transit Center,175859,3_merged_9191499,9088724
b_3803,15262,1,Transit Center,175858,3_merged_9191499,9088723
b_3810,15262,1,Transit Center,175859,3_merged_9191499,9088722
b_3809,15262,1,Transit Center,175858,3_merged_9191499,9088721
b_3802,15262,1,Transit Center,175859,3_merged_9191499,9088720
b_5904,15279,0,Bay + Taylor,175920,3_merged_9191499,9105235
b_3501,15259,1,Market + Castro,175840,3_merged_9191499,9087110
a_9716,15083,0,Ocean Beach,174335,1_merged_9191495,9012333
a_9723,15083,0,Ocean Beach,174335,1_merged_9191495,9012332
a_9713,15083,0,Ocean Beach,174335,1_merged_9191495,9012331
a_9710,15083,0,Ocean Beach,174335,1_merged_9191495,9012330
a_9706,15083,0,Ocean Beach,174335,1_merged_9191495,9012336
a_9705,15083,0,Ocean Beach,174335,1_merged_9191495,9012335
a_9725,15083,0,Ocean Beach,174335,1_merged_9191495,9012334
a_9717,15083,0,Ocean Beach,174334,1_merged_9191495,9012339
a_9713,15083,0,Ocean Beach,174334,1_merged_9191495,9012338
b_106,15222,0,Geary + 33rd Avenue,175669,2_merged_9191500,9052620
a_6701,15063,0,Alemany + Ellsworth,174181,3_merged_9191496,8999572
a_816,15012,1,Fisherman's Wharf,173964,3_merged_9191496,8953389
a_6702,15063,0,Alemany + Ellsworth,174181,3_merged_9191496,8999573
a_3704,15041,0,Twin Peaks,174091,1_merged_9191495,8978149
a_6701,15063,0,Alemany + Ellsworth,174181,3_merged_9191496,8999570
a_803,15012,1,Fisherman's Wharf,173964,3_merged_9191496,8953387
a_6702,15063,0,Alemany + Ellsworth,174181,3_merged_9191496,8999571
a_815,15012,1,Fisherman's Wharf,173964,3_merged_9191496,8953386
a_5903,15059,0,Bay + Taylor,174165,1_merged_9191495,8995015
a_802,15012,1,Fisherman's Wharf,173964,3_merged_9191496,8953385
a_5901,15059,0,Bay + Taylor,174165,1_merged_9191495,8995014
b_2592,15248,0,Treasure Island (OWL service 12:30am to 6:15am),175792,2_merged_9191500,9077934
b_2591,15248,0,Treasure Island (Daytime to midnight),175791,2_merged_9191500,9077935
b_2591,15248,0,Treasure Island (Daytime to midnight),175791,2_merged_9191500,9077936
a_810,15012,1,Fisherman's Wharf,173964,3_merged_9191496,8953384
b_2592,15248,0,Treasure Island (OWL service 12:30am to 6:15am),175792,2_merged_9191500,9077930
a_9708,15083,1,Caltrain/Ballpark,174350,1_merged_9191495,9012488
b_2592,15248,0,Treasure Island (OWL service 12:30am to 6:15am),175792,2_merged_9191500,9077932
b_2591,15248,0,Treasure Island (OWL service 12:30am to 6:15am),175792,2_merged_9191500,9077933
a_9720,15083,1,Caltrain/Ballpark,174350,1_merged_9191495,9012485
a_9705,15083,1,Caltrain/Ballpark,174350,1_merged_9191495,9012484
a_9707,15083,1,Caltrain/Ballpark,174350,1_merged_9191495,9012487
a_9706,15083,1,Caltrain/Ballpark,174350,1_merged_9191495,9012486
a_9703,15083,1,Caltrain/Ballpark,174350,1_merged_9191495,9012481
a_9718,15083,1,Caltrain/Ballpark,174350,1_merged_9191495,9012480
a_9704,15083,1,Caltrain/Ballpark,174350,1_merged_9191495,9012483
a_9719,15083,1,Caltrain/Ballpark,174350,1_merged_9191495,9012482
a_3703,15041,0,Twin Peaks,174091,1_merged_9191495,8978140
a_3704,15041,0,Twin Peaks,174091,1_merged_9191495,8978141
a_2808,15030,0,Daly City BART,174045,2_merged_9191497,8970726
a_2805,15030,0,Daly City BART,174045,2_merged_9191497,8970727
a_2809,15030,0,Daly City BART,174045,2_merged_9191497,8970724
a_2804,15030,0,Daly City BART,174045,2_merged_9191497,8970725
a_2802,15030,0,Daly City BART,174045,2_merged_9191497,8970722
a_2807,15030,0,Daly City BART,174045,2_merged_9191497,8970723
a_2806,15030,0,Daly City BART,174045,2_merged_9191497,8970720
a_2803,15030,0,Daly City BART,174045,2_merged_9191497,8970721
a_2801,15030,0,Daly City BART,174045,2_merged_9191497,8970728
a_2811,15030,0,Daly City BART,174045,2_merged_9191497,8970729
b_2409,15247,0,Palou + Third Street,175781,1_merged_9191498,9185168
b_4492,15269,0,Bayview District,175880,2_merged_9191500,9095349
b_3893,15269,0,Bayview District,175880,2_merged_9191500,9095348
b_4402,15269,0,Bayview District,175880,2_merged_9191500,9095347
b_4404,15269,0,Bayview District,175880,2_merged_9191500,9095346
b_4491,15269,0,Bayview District,175880,2_merged_9191500,9095345
b_4401,15269,0,Bayview District,175880,2_merged_9191500,9095344
b_4491,15269,0,Bayview District,175880,2_merged_9191500,9095343
b_4492,15269,0,Bayview District,175880,2_merged_9191500,9095342
b_3893,15269,0,Bayview District,175880,2_merged_9191500,9095341
b_4404,15269,0,Bayview District,175880,2_merged_9191500,9095340
b_5501,15276,0,UCSF Mission Bay,175912,2_merged_9191500,9103448
b_5502,15276,0,UCSF Mission Bay,175912,2_merged_9191500,9103449
a_6011,15060,1,TO CABLE CARS (IB),174173,2_merged_9191497,8997718
a_6006,15060,1,Market + Powell,174172,2_merged_9191497,8997719
a_6002,15060,1,Market + Powell,174172,2_merged_9191497,8997710
a_6004,15060,1,Market + Powell,174172,2_merged_9191497,8997711
a_6002,15060,1,Market + Powell,174172,2_merged_9191497,8997712
a_6004,15060,1,Market + Powell,174172,2_merged_9191497,8997713
a_6010,15060,1,Market + Powell,174172,2_merged_9191497,8997714
a_6005,15060,1,Market + Powell,174172,2_merged_9191497,8997715
a_6009,15060,1,Market + Powell,174172,2_merged_9191497,8997716
a_6001,15060,1,Market + Powell,174172,2_merged_9191497,8997717
b_5501,15276,0,UCSF Mission Bay,175912,2_merged_9191500,9103446
b_5502,15276,0,UCSF Mission Bay,175912,2_merged_9191500,9103447
a_1459,15020,0,Daly City BART,173996,3_merged_9191496,8960396
a_1457,15020,0,Daly City BART,173996,3_merged_9191496,8960397
a_4504,15050,0,Lyon + Greenwich,174131,2_merged_9191497,8987472
a_1458,15020,0,Daly City BART,173996,3_merged_9191496,8960395
a_1451,15020,0,Daly City BART,173996,3_merged_9191496,8960392
a_1461,15020,0,Daly City BART,173996,3_merged_9191496,8960393
b_9803,15296,0,Castro,175995,1_merged_9191498,9164787
a_1454,15020,0,Daly City BART,173996,3_merged_9191496,8960390
b_4311,15268,0,Munich + Geneva,175873,2_merged_9191500,9094453
a_1452,15020,0,Daly City BART,173996,3_merged_9191496,8960391
a_502,15007,0,Ocean Beach,173933,3_merged_9191496,8946998
a_501,15007,0,Ocean Beach,173933,3_merged_9191496,8946999
a_509,15007,0,Ocean Beach,173933,3_merged_9191496,8946994
a_513,15007,0,Ocean Beach,173933,3_merged_9191496,8946995
a_506,15007,0,Ocean Beach,173933,3_merged_9191496,8946996
a_511,15007,0,Ocean Beach,173933,3_merged_9191496,8946997
a_512,15007,0,Ocean Beach,173933,3_merged_9191496,8946990
a_505,15007,0,Ocean Beach,173933,3_merged_9191496,8946991
a_507,15007,0,Ocean Beach,173933,3_merged_9191496,8946992
a_504,15007,0,Ocean Beach,173933,3_merged_9191496,8946993
b_801,15232,0,City College,175716,1_merged_9191498,9062063
b_4703,15271,0,Caltrain Depot,175892,3_merged_9191499,9098142
b_4711,15271,0,Caltrain Depot,175892,3_merged_9191499,9098143
b_115,15222,0,Geary + 33rd Avenue,175669,2_merged_9191500,9052622
b_4705,15271,0,Caltrain Depot,175892,3_merged_9191499,9098140
b_906,15235,0,Cow Palace,175724,2_merged_9191500,9065007
