route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
FULTON RAPID,3,,,SFMTA,15228,https://SFMTA.com/5R,,5R
TARAVAL,0,,,SFMTA,15300,https://SFMTA.com/L,,L
OWL TARAVAL,3,,,SFMTA,15301,https://SFMTA.com/L-OWL,,L-OWL
MID-MARKET EXPRESS,3,,,SFMTA,15289,https://SFMTA.com/83X,,83X
LEVI PLAZA EXPRESS,3,,,SFMTA,15288,https://SFMTA.com/82X,,82X
MARIN HEADLANDS EXPRESS,3,,,SFMTA,15284,https://SFMTA.com/76X,,76X
CALTRAIN EXPRESS,3,,,SFMTA,15287,https://SFMTA.com/81X,,81X
CALIFORNIA STREET CABLE CAR,5,,,SFMTA,15281,https://SFMTA.com/C,,C
POWELL-HYDE CABLE CAR,5,,,SFMTA,15280,https://SFMTA.com/PH,,PH
BERNAL HEIGHTS,3,,,SFMTA,15283,https://SFMTA.com/67,,67
QUINTARA,3,,,SFMTA,15282,https://SFMTA.com/66,,66
GEARY A EXPRESS,3,,,SFMTA,15043,https://SFMTA.com/38AX,,38AX
GEARY,3,,,SFMTA,15042,https://SFMTA.com/38,,38
CORBETT,3,,,SFMTA,15041,https://SFMTA.com/37,,37
TERESITA,3,,,SFMTA,15040,https://SFMTA.com/36,,36
UNION,3,,,SFMTA,15047,https://SFMTA.com/41,,41
COIT,3,,,SFMTA,15046,https://SFMTA.com/39,,39
GEARY RAPID,3,,,SFMTA,15045,https://SFMTA.com/38R,,38R
GEARY B EXPRESS,3,,,SFMTA,15044,https://SFMTA.com/38BX,,38BX
O'SHAUGHNESSY,3,,,SFMTA,15049,https://SFMTA.com/44,,44
MASONIC,3,,,SFMTA,15048,https://SFMTA.com/43,,43
EMBARCADERO,0,,,SFMTA,15209,https://SFMTA.com/E,,E
OWL INGLESIDE,3,,,SFMTA,15298,https://SFMTA.com/K-OWL,,K-OWL
INGLESIDE-THIRD,0,,,SFMTA,15299,https://SFMTA.com/KT,,KT
MARKET & WHARVES,0,,,SFMTA,15296,https://SFMTA.com/F,,F
CHURCH,0,,,SFMTA,15297,https://SFMTA.com/J,,J
EMBARCADERO,0,,,SFMTA,15295,https://SFMTA.com/E,,E
3RD-19TH AVE OWL,3,,,SFMTA,15292,https://SFMTA.com/91,,91
BART EARLY BIRD,3,,,SFMTA,15293,https://SFMTA.com/714,,714
BART SHUTTLE,3,,,SFMTA,15290,https://SFMTA.com/88,,88
SAN BRUNO OWL,3,,,SFMTA,15291,https://SFMTA.com/90,,90
PARKMERCED,3,,,SFMTA,15058,https://SFMTA.com/57,,57
POWELL-MASON CABLE CAR,5,,,SFMTA,15059,https://SFMTA.com/PM,,PM
KT INGLESIDE/THIRD BUS,3,,,SFMTA,15440,https://SFMTA.com/KTBUS,,KTBUS
EXCELSIOR,3,,,SFMTA,15054,https://SFMTA.com/52,,52
FELTON,3,,,SFMTA,15055,https://SFMTA.com/54,,54
16TH STREET,3,,,SFMTA,15056,https://SFMTA.com/55,,55
RUTLAND,3,,,SFMTA,15057,https://SFMTA.com/56,,56
UNION-STOCKTON,3,,,SFMTA,15050,https://SFMTA.com/45,,45
VAN NESS,3,,,SFMTA,15051,https://SFMTA.com/47,,47
QUINTARA-24TH STREET,3,,,SFMTA,15052,https://SFMTA.com/48,,48
VAN NESS-MISSION,3,,,SFMTA,15053,https://SFMTA.com/49,,49
STOCKTON,3,,,SFMTA,15435,https://SFMTA.com/30,,30
CHURCH BUS,3,,,SFMTA,15439,https://SFMTA.com/JBUS,,JBUS
BRYANT,3,,,SFMTA,15029,https://SFMTA.com/27,,27
TREASURE ISLAND,3,,,SFMTA,15028,https://SFMTA.com/25,,25
FULTON,3,,,SFMTA,15227,https://SFMTA.com/5,,5
JACKSON,3,,,SFMTA,15226,https://SFMTA.com/3,,3
SUTTER/CLEMENT,3,,,SFMTA,15225,https://SFMTA.com/2,,2
CALIFORNIA B EXPRESS,3,,,SFMTA,15224,https://SFMTA.com/1BX,,1BX
MISSION EXPRESS,3,,,SFMTA,15021,https://SFMTA.com/14X,,14X
MISSION RAPID,3,,,SFMTA,15020,https://SFMTA.com/14R,,14R
POLK,3,,,SFMTA,15023,https://SFMTA.com/19,,19
46TH AVENUE,3,,,SFMTA,15022,https://SFMTA.com/18,,18
FILLMORE,3,,,SFMTA,15025,https://SFMTA.com/22,,22
HAYES,3,,,SFMTA,15024,https://SFMTA.com/21,,21
DIVISADERO,3,,,SFMTA,15027,https://SFMTA.com/24,,24
MONTEREY,3,,,SFMTA,15026,https://SFMTA.com/23,,23
ASHBURY-18TH ST,3,,,SFMTA,15038,https://SFMTA.com/33,,33
EUREKA,3,,,SFMTA,15039,https://SFMTA.com/35,,35
FOLSOM-PACIFIC,3,,,SFMTA,15238,https://SFMTA.com/12,,12
MISSION,3,,,SFMTA,15239,https://SFMTA.com/14,,14
SUNSET,3,,,SFMTA,15032,https://SFMTA.com/29,,29
STOCKTON,3,,,SFMTA,15033,https://SFMTA.com/30,,30
19TH AVENUE,3,,,SFMTA,15030,https://SFMTA.com/28,,28
19TH AVENUE RAPID,3,,,SFMTA,15031,https://SFMTA.com/28R,,28R
BALBOA A EXPRESS,3,,,SFMTA,15036,https://SFMTA.com/31AX,,31AX
BALBOA B EXPRESS,3,,,SFMTA,15037,https://SFMTA.com/31BX,,31BX
MARINA EXPRESS,3,,,SFMTA,15034,https://SFMTA.com/30X,,30X
BALBOA,3,,,SFMTA,15035,https://SFMTA.com/31,,31
OWL THIRD,3,,,SFMTA,15089,https://SFMTA.com/T-OWL,,T-OWL
EXPRESS,3,,,SFMTA,15086,https://SFMTA.com/NX,,NX
OWL JUDAH,3,,,SFMTA,15084,https://SFMTA.com/N-OWL,,N-OWL
JUDAH,0,,,SFMTA,15083,https://SFMTA.com/N,,N
OWL OCEANVIEW,3,,,SFMTA,15082,https://SFMTA.com/M-OWL,,M-OWL
OCEAN VIEW,0,,,SFMTA,15081,https://SFMTA.com/M,,M
FULTON,3,,,SFMTA,15007,https://SFMTA.com/5,,5
JACKSON,3,,,SFMTA,15006,https://SFMTA.com/3,,3
SUTTER/CLEMENT,3,,,SFMTA,15005,https://SFMTA.com/2,,2
CALIFORNIA B EXPRESS,3,,,SFMTA,15004,https://SFMTA.com/1BX,,1BX
